5162;860004902;2019-12-31;2019;MILES;9914043;337399;9576644;1940890;6987044;648710;265985;22177;91920;1663701;2115480;234976;1880504;
5163;860004902;2019-12-31;2018;MILES;9047137;340852;8706285;1839241;6358299;508745;18124;20649;92686;4463450;5050704;540775;4509929;
5164;830113601;2019-12-31;2019;MILES;252566665;0;252566665;4212600;0;248354065;21404364;31;14153767;0;1040001506;4708198;1035293308;
5165;830113601;2019-12-31;2018;MILES;204116370;0;204116370;3645777;0;200470593;24350257;3864133;13815875;1;888264682;7397498;880867184;
5166;830113603;2019-12-31;2019;MILES;107709278;0;107709278;2906853;0;104802425;14242435;3000033;15858635;1;469009191;6863123;462146068;
5167;830113603;2019-12-31;2018;MILES;89072590;0;89072590;2507653;0;86564937;20864579;2194617;16000005;34;271351564;-22685524;294037088;
5168;830113604;2019-12-31;2019;MILES;714074;0;714074;169510;0;544564;0;2;1405024;5;26422168;412148;26010020;
5169;830113604;2019-12-31;2018;MILES;602768;0;602768;266351;0;336417;26403;115761;1261430;96741;12895851;-2476558;15372409;
5170;860401123;2019-12-31;2019;MILES;0;0;0;13003;0;-13003;0;6874;0;0;-19876;2468;-22344;
5171;860401123;2019-12-31;2018;MILES;0;0;0;102166;0;-102166;0;0;0;1;-102165;7020;-109185;
5172;800148159;2019-12-31;2019;MILES;0;0;0;1556456;0;-1556456;17616279;5;0;5;672436432;0;672436432;
5173;800148159;2019-12-31;2018;MILES;262802;0;262802;1799002;0;-1536200;3558721;4278905;509358;0;566045392;128;566045264;
5174;800148163;2019-12-31;2019;MILES;993321;0;993321;1622224;0;-628903;24046535;225;23557;0;727547319;0;727547319;
5175;800148163;2019-12-31;2018;MILES;962470;0;962470;1902060;0;-939590;4000176;3897043;271208;0;604175410;43622;604131788;
5176;900257179;2019-12-31;2019;MILES;76613583;0;76613583;1246808;0;75366775;0;66;2518727;1;251321616;1211582;250110034;
5177;900257179;2019-12-31;2018;MILES;61332822;0;61332822;1455940;0;59876882;176638;1208031;1676162;1;224783161;3482883;221300278;
5178;900104080;2019-12-31;2019;MILES;72983885;0;72983885;1810515;0;71173370;26271;18842;4894421;191338;534819495;1277324;533542171;
5179;900104080;2019-12-31;2018;MILES;58387108;0;58387108;2050386;0;56336722;265435;1144931;4174778;2;445529069;4819753;440709316;
5180;800027082;2019-12-31;2019;MILES;21386;0;21386;16668;0;4718;0;1;125017;0;169581;41816;127765;
5181;800027082;2019-12-31;2018;MILES;17109;0;17109;60594;0;-43485;0;56;124459;0;127114;100504;26610;
5182;860402513;2019-12-31;2019;MILES;394371;1519572;-1125201;22861;0;-1148062;0;2252;388853;0;-1061830;70558;-1132388;
5183;860402513;2019-12-31;2018;MILES;2845982;1383801;1462181;67117;0;1395064;0;2148;387044;0;1452162;86894;1365268;
5184;890201210;2019-12-31;2019;MILES;101761073;70160288;31600785;0;0;31600785;14313267;25915534;6812217;6156068;-3735800;2520391;-6256191;
5185;890201210;2019-12-31;2018;MILES;116958433;96427225;20531208;0;0;20531208;14553738;27732076;8826354;5824370;-16078238;10242864;-26321102;
5186;830111922;2019-12-31;2019;MILES;316699;237057;79642;29266;0;50376;27342;83;926;26934;2442037;32222;2409815;
5187;830111922;2019-12-31;2018;MILES;197572;127877;69695;63615;0;6080;3005;8066;16470;59834;2670836;48608;2622228;
5188;860003831;2019-12-31;2019;MILES;455592560;270856710;184735850;46586256;134021116;4128478;6056737;4059109;1375913;1624646;-1638533;-1737352;98819;
5189;860003831;2019-12-31;2018;MILES;426175561;255192217;170983344;49607331;117316607;4059406;5756234;6551544;508639;4877657;3503214;-136039;3639253;
5190;860533413;2019-12-31;2019;MILES;421329209;140423164;280906045;30491111;212157024;38257910;31791409;0;331334;3063764;13232838;4753804;7979839;
5191;860533413;2019-12-31;2018;MILES;389331612;132458522;256873090;25697138;221794894;9381058;10620796;26864;280330;1300449;-1378177;912742;-5626673;
5192;900328834;2019-12-31;2019;MILES;69188913;22427076;46761837;1345245;39826212;5590380;3618515;57654;833;1263489;3202364;998549;2203815;
5193;900328834;2019-12-31;2018;MILES;60713175;18915572;41797603;622773;40752843;421987;966960;65558;7187;108732;-494612;-59004;-435608;
5194;900226833;2019-12-31;2019;MILES;9135701;3729588;5406113;388989;3243143;1773981;56469;0;5648;130559;2342558;644543;1698015;
5195;900226833;2019-12-31;2018;MILES;10764128;4766414;5997714;743242;3362295;1892177;144838;0;3880;113237;2945233;632516;2312717;
5196;891304849;2019-12-31;2019;MILES;98616139;79435534;19180605;6092399;5966026;7122180;0;0;0;0;1938344;1103354;834990;
5197;891304849;2019-12-31;2018;MILES;112103077;89646606;22456471;5219243;6570432;10666796;0;7002300;0;2404530;6069026;2996185;3072841;
5198;817002510;2019-12-31;2019;MILES;295871918;247505716;48366202;1284817;23290647;23790738;1943179;1636958;1036192;500394;21747187;3377900;18369287;
5199;817002510;2019-12-31;2018;MILES;295901412;219741021;76160391;1297021;25159878;49703492;1438169;1222838;500723;482955;47878106;7217574;40660532;
5200;900191557;2019-12-31;2019;MILES;0;0;0;212377;0;-212377;334;52880;0;25978;673933;-47368;721301;
5201;900191557;2019-12-31;2018;MILES;0;0;0;199594;0;-199594;205;35548;0;26362;4150273;13250;4137023;
5202;830037774;2019-12-31;2019;MILES;450538328;367976147;82562181;206768;0;82355413;169548;0;0;11251711;100490158;26988662;73501496;
5203;830037774;2019-12-31;2018;MILES;443600693;352408044;91192649;187833;0;91004816;35618;109256;0;5621701;108691014;33297522;75393492;
5204;860001022;2019-12-31;2019;MILES;344108903;198821137;145287766;38340916;116405115;-9458265;13510568;845265;1723921;2365808;-24179413;1469151;-25648564;
